code,tac_pct,source,updated_at,note
069500,0.18570,etfcheck(getEtpLatestFee),2026-02-21,TER=0.16000; tradeDate=202601
360750,0.10960,etfcheck(getEtpLatestFee),2026-02-21,TER=0.07000; tradeDate=202601
379800,0.10850,etfcheck(getEtpLatestFee),2026-02-21,TER=0.07000; tradeDate=202601
133690,0.14040,etfcheck(getEtpLatestFee),2026-02-21,TER=0.10000; tradeDate=202601
102110,0.08830,etfcheck(getEtpLatestFee),2026-02-21,TER=0.07000; tradeDate=202601
0060H0,0.46990,etfcheck(getEtpLatestFee),2026-02-21,TER=0.35000; tradeDate=202601
105190,0.06030,etfcheck(getEtpLatestFee),2026-02-21,TER=0.04000; tradeDate=202601
278530,0.10790,etfcheck(getEtpLatestFee),2026-02-21,TER=0.08000; tradeDate=202601
310970,0.18210,etfcheck(getEtpLatestFee),2026-02-21,TER=0.16000; tradeDate=202601
360200,0.10120,etfcheck(getEtpLatestFee),2026-02-21,TER=0.07000; tradeDate=202601
379780,0.11790,etfcheck(getEtpLatestFee),2026-02-21,TER=0.07000; tradeDate=202601
0026S0,0.26160,etfcheck(getEtpLatestFee),2026-02-21,TER=0.12000; tradeDate=202601
379810,0.16080,etfcheck(getEtpLatestFee),2026-02-21,TER=0.10000; tradeDate=202601
367380,0.14240,etfcheck(getEtpLatestFee),2026-02-21,TER=0.10000; tradeDate=202601
368590,0.14730,etfcheck(getEtpLatestFee),2026-02-21,TER=0.11000; tradeDate=202601
0069M0,0.26310,etfcheck(getEtpLatestFee),2026-02-21,TER=0.12000; tradeDate=202601
251350,0.37950,etfcheck(getEtpLatestFee),2026-02-21,TER=0.37000; tradeDate=202601
195970,0.56000,etfcheck(getEtpLatestFee),2026-02-21,TER=0.56000; tradeDate=202601
309230,0.70350,etfcheck(getEtpLatestFee),2026-02-21,TER=0.55000; tradeDate=202601
195980,0.56030,etfcheck(getEtpLatestFee),2026-02-21,TER=0.56000; tradeDate=202601
291890,1.29700,etfcheck(getEtpLatestFee),2026-02-21,TER=1.12000; tradeDate=202601
499660,0.03310,etfcheck(getEtpLatestFee),2026-02-21,TER=0.03000; tradeDate=202601
477080,0.04050,etfcheck(getEtpLatestFee),2026-02-21,TER=0.04000; tradeDate=202601
459580,0.03520,etfcheck(getEtpLatestFee),2026-02-21,TER=0.03000; tradeDate=202601
449170,0.04210,etfcheck(getEtpLatestFee),2026-02-21,TER=0.04000; tradeDate=202601
479520,0.03090,etfcheck(getEtpLatestFee),2026-02-21,TER=0.03000; tradeDate=202601
0017Y0,0.03240,etfcheck(getEtpLatestFee),2026-02-21,TER=0.03000; tradeDate=202601
385540,0.04590,etfcheck(getEtpLatestFee),2026-02-21,TER=0.03000; tradeDate=202601
451540,0.06200,etfcheck(getEtpLatestFee),2026-02-21,TER=0.05000; tradeDate=202601
469830,0.06730,etfcheck(getEtpLatestFee),2026-02-21,TER=0.06000; tradeDate=202601
385550,0.07240,etfcheck(getEtpLatestFee),2026-02-21,TER=0.07000; tradeDate=202601
0139F0,0.10110,etfcheck(getEtpLatestFee),2026-02-21,TER=0.10000; tradeDate=202601
139260,0.48140,etfcheck(getEtpLatestFee),2026-02-21,TER=0.44000; tradeDate=202601
139220,0.49480,etfcheck(getEtpLatestFee),2026-02-21,TER=0.44000; tradeDate=202601
